Count,Time,Count,LocatorTime
704,3545334,704,3538127
705,3803940,705,3796837
706,3606102,706,3597642
707,3090409,707,3084367
708,4733775,708,4726403
709,3167326,709,3160914
710,2902854,710,2896561
711,2946119,711,2939822
712,3082550,712,3076249
713,4318043,713,4309759
714,3588313,714,3579703
715,3965431,715,3956549
716,3505218,716,3497384
717,3287081,717,3279728
718,3470917,718,3462969
719,3680892,719,3673926
720,4005730,720,3998935
721,3037205,721,3030155
722,3317313,722,3310658
723,3609268,723,3602619
724,3308346,724,3299908
725,3324547,725,3318171
726,2921246,726,2915403
727,3455842,727,3449674
728,3307897,728,3301130
729,2796695,729,2790588
730,3440295,730,3433921
731,3208689,731,3200523
732,3391547,732,3384565
733,4518679,733,4511764
734,3517080,734,3509750
735,4484611,735,4476158
736,3307987,736,3299257
737,3154605,737,3147683
738,3425335,738,3416873
739,3842637,739,3836237
740,3783686,740,3776620
741,3955182,741,3944734
742,3490748,742,3483676
743,3299293,743,3292474
744,4210604,744,4203420
745,3927405,745,3920601
746,3787480,746,3781183
747,3465204,747,3458838
748,2631025,748,2623044
749,3768067,749,3761291
750,2763420,750,2756772
751,3983861,751,3976695
752,4247393,752,4240145
753,3613482,753,3604841
754,5258454,754,5251655
755,4837894,755,4829460
756,4053967,756,4046147
757,3457748,757,3449157
758,3340802,758,3334245
759,3227084,759,3219558
760,4088798,760,4081341
761,3156289,761,3149955
762,4204812,762,4197703
763,3357927,763,3350500
764,3358190,764,3350458
765,3426530,765,3420005
766,2780439,766,2774230
767,2968308,767,2962937
768,3299131,768,3292696
769,2685529,769,2679694
770,3235484,770,3229890
771,3272201,771,3266240
772,4210616,772,4203680
773,3787779,773,3780652
774,4364207,774,4357390
775,3701599,775,3693118
776,3911560,776,3904694
777,3782178,777,3775020
778,3758050,778,3751057
779,4710846,779,4703348
780,3352183,780,3344505
781,4195664,781,4189134
782,3617487,782,3610305
783,5229772,783,5209444
784,4595129,784,4586247
785,3319086,785,3311527
786,3740058,786,3732773
787,2934991,787,2927793
788,3358636,788,3350330
789,4059703,789,4053422
790,4846993,790,4839089
791,3863587,791,3856064
792,4393899,792,4386483
793,4100199,793,4089287
794,3490511,794,3483220
795,3261046,795,3254305
796,3784162,796,3777804
797,3872641,797,3865772
798,4606298,798,4599562
799,4160545,799,4153011
800,3668696,800,3662487
801,3408872,801,3403345
802,3151210,802,3145381
803,2685623,803,2678555
804,3271393,804,3265729
805,2766759,805,2760149
806,2798905,806,2793649
807,3025056,807,3018868
808,3451401,808,3445438
809,3042425,809,3035071
810,2671086,810,2665606
811,2790801,811,2783385
812,3215564,812,3204511
813,3338532,813,3332260
814,4104496,814,4098122
815,3275664,815,3268191
816,3361750,816,3354543
817,3451075,817,3444511
818,3142661,818,3136393
819,3095911,819,3089705
820,3192378,820,3186009
821,2896909,821,2891110
822,3038645,822,3031850
823,2777292,823,2771127
824,3192473,824,3186063
825,3902136,825,3895913
826,3825243,826,3817162
827,3745026,827,3738368
828,5156745,828,5148862
829,3839100,829,3831212
830,2924914,830,2917989
831,4439270,831,4422946
832,3210696,832,3203329
833,3549655,833,3542739
834,4070276,834,4062951
835,3856016,835,3848911
836,3359189,836,3352382
837,3215708,837,3208769
838,2995165,838,2988388
839,3189885,839,3183408
840,3939480,840,3932760
841,3395085,841,3388356
842,3365650,842,3358907
843,3135241,843,3128666
844,3797545,844,3791279
845,3100694,845,3094907
846,2401826,846,2395901
847,3156454,847,3150194
848,6086322,848,6079002
849,3642226,849,3634752
850,4434418,850,4427977
851,3498214,851,3489115
852,2939111,852,2930718
853,3781332,853,3773890
854,3167180,854,3158577
855,3481984,855,3475457
856,3827953,856,3821114
857,3214123,857,3207151
858,4162449,858,4154832
859,3419867,859,3413146
860,4125610,860,4118706
861,3901855,861,3893879
862,3764279,862,3756467
863,4017034,863,4010081
864,3436161,864,3428628
865,4335539,865,4328959
866,3543417,866,3535350
867,4072674,867,4065778
868,4513892,868,4505830
869,3476709,869,3469585
870,3621465,870,3614635
871,3878735,871,3871387
872,3637691,872,3630323
873,4038375,873,4032002
874,3737664,874,3730668
875,3288301,875,3281673
876,3361906,876,3354828
877,3313261,877,3306493
878,3033195,878,3027273
879,3807142,879,3801250
880,2944460,880,2938160
881,3730211,881,3723964
882,2553169,882,2547178
883,3194308,883,3188320
884,3810161,884,3804502
885,4778711,885,4772491
886,2658280,886,2651731
887,3163636,887,3157820
888,3044849,888,3037455
889,3151560,889,3144446
890,3678553,890,3672160
891,3673953,891,3666042
892,4234887,892,4227673
893,3398889,893,3392100
894,3228641,894,3220687
895,4147164,895,4140683
896,3258104,896,3250536
897,3355071,897,3349025
898,3550258,898,3544368
899,3481307,899,3474356
